year,season,sig_wave_ht
2014,Fall,1.25
2014,Spring,1.28
2014,Summer,0.9
2014,Winter,2.06
2015,Fall,1.53
2015,Spring,1.21
2015,Summer,1.0
2015,Winter,1.88
2016,Fall,1.46
2016,Spring,1.06
2016,Summer,0.86
2016,Winter,1.86
2017,Fall,1.52
2017,Spring,1.19
2017,Summer,0.98
2017,Winter,2.14
2018,Fall,1.19
2018,Spring,1.49
2018,Summer,0.98
2018,Winter,2.03
2019,Fall,1.4
2019,Spring,1.12
2019,Summer,0.97
2019,Winter,1.64
2020,Fall,1.56
2020,Spring,1.33
2020,Summer,0.99
2020,Winter,1.83
2021,Fall,1.45
2021,Spring,1.41
2021,Summer,0.93
2021,Winter,2.09
2022,Fall,1.33
2022,Spring,1.14
2022,Summer,1.01
2022,Winter,2.18
