Station,Longitude,Latitude
목포,126.3755556,34.77972222
부산,129.0352778,35.09638889
인천,126.5922222,37.45194444
울산,129.3872222,35.50194444
제주,126.5430556,33.5275
흑산도,125.4355556,34.68416667
묵호,129.1163889,37.55027778
여수,127.7655556,34.74722222
울릉도,130.9136111,37.49138889
포항,129.3744444,36.05166667
속초,128.5941667,38.20722222
통영,128.4347222,34.82777778
가덕도,128.8108333,35.02416667
군산,126.5630556,35.97555556
거문도,127.3088889,34.02833333
완도,126.7597222,34.31555556
추자도,126.3002778,33.96194444
서귀포,126.5616667,33.24
위도,126.3019444,35.61805556
보령,126.4861111,36.40638889
안흥,126.1322222,36.67361111
평택,126.8227778,36.96694444
인천송도,126.5861111,37.33805556
안산,126.6472222,37.19222222
영광,126.4205556,35.42611111
태안,126.2388889,36.91305556
후포,129.4530556,36.6775
마산,128.5763889,35.1975
대산,126.3527778,37.0075
모슬포,126.2511111,33.21444444
성산포,126.9277778,33.47472222
장항,126.6875,36.00694444
고흥발포,127.3427778,34.48111111
영흥도,126.4286111,37.23861111
거제도,128.6991667,34.80138889
진도,126.3086111,34.37777778
서천마량,126.4952778,36.12888889
강화대교,126.5222222,37.73194444
어청도,125.9847222,36.11722222
향화도,126.3594444,35.16777778
진해,128.6430556,35.14722222
광양,127.7547222,34.90361111
동해항,129.1438889,37.49472222
부산항신항,128.7847222,35.0775
소무의도,126.44,37.37305556
백령도,124.7361111,37.95555556
연평도,125.7144444,37.65777778
삼천포,128.0697222,34.92416667
영종대교,126.5844444,37.54555556
여호항,127.4691667,34.66194444
교동대교,126.3397222,37.78944444
덕적도,126.1566667,37.22638889
서거차도,125.9155556,34.25138889
