Station,Longitude,Latitude
A01,129.17167,37.55333
A02,129.25833,37.55333
A03,129.37667,37.55333
A04,129.68833,37.55333
A05,130.00000,37.55333
A06,130.31167,37.55333
A07,130.62500,37.55333
A08,130.93167,37.55333
A09,131.24333,37.55333
A10,131.56333,37.55333
A11,131.85972,37.45000
A12,132.11111,37.25417
A13,131.85833,37.05139
A14,131.60417,37.24861
TD01,129.58833,36.07667
TD02,129.61500,36.07667
TD03,129.68833,36.07667
TD04,129.79667,36.07667
TD05,130.00000,36.07667
TD06,130.30667,36.07667
TD07,130.61500,36.07667
TD08,130.91833,36.07667
TEE01,129.45000,35.46667
TEE02,129.52000,35.40944
TEE03,129.59000,35.35194
TEE04,129.66000,35.29444
TEE05,129.79944,35.17944
TSA01,129.12833,35.02000
TSA02,129.16000,34.98972
TSA03,129.19250,34.95500
TSA04,129.23139,34.92306
TSA05,129.26056,34.89444
TSA101,128.76389,34.75694
TSA102,128.80639,34.71500
TSA103,128.85194,34.67000
TSA104,128.89583,34.62611
TSA105,128.94444,34.57778
TSB01,127.90000,34.32000
TSB02,128.03806,34.20528
TSB03,128.17583,34.09028
TSB04,128.31139,33.97889
TSB05,128.41917,33.87611
TSF01,128.08056,33.61389
TSF02,127.86500,33.59333
TSF03,127.56667,33.56000
TSF04,127.28000,33.52833
TSF05,127.07500,33.50500
TSC01,126.58750,34.00000
TSC02,126.58750,33.91667
TSC03,126.58750,33.83333
TSC04,126.58750,33.75000
TSC05,126.58750,33.66667
TSC06,126.58750,33.58333
TSG01,127.38500,32.50000
TSG02,127.08500,32.50000
TSG03,126.80000,32.50000
TSG04,126.50000,32.50000
TSG05,126.20000,32.50000
TSG06,125.88500,32.50000
TSG07,125.58667,32.50000
TSG08,125.28667,32.50000
TSG09,125.00000,32.50000
TSG10,124.50000,32.50000
TSG11,124.00000,32.50000
TWA01,126.00000,36.94167
TWA02,125.62833,36.92500
TWA03,125.41667,36.92500
TWA04,125.20833,36.92500
TWA05,125.00000,36.92500
TWA06,124.79167,36.92500
TWA07,124.58000,36.92500
TWA08,124.37167,36.92500
TWB01,125.73167,34.71667
TWB02,125.53167,34.71667
TWB03,125.32333,34.71667
TWB04,125.00000,34.71667
TWB05,124.79833,34.71667
TWB06,124.59667,34.71667
TWB07,124.39000,34.71667
