Station,Longitude,Latitude
102-0,129.588333,36.071667
102-4,129.615000,36.071667
102-5,129.688333,36.071667
102-6,129.796667,36.071667
102-7,130.000000,36.071667
103-0,129.483333,36.505000
103-4,129.501667,36.505000
103-5,129.590000,36.505000
103-6,129.788333,36.505000
103-7,130.000000,36.505000
104-0,129.460000,37.056667
104-4,129.480000,37.056667
104-5,129.560000,37.056667
104-6,129.793333,37.056667
104-7,130.000000,37.056667
105-0,129.150000,37.553333
105-3,129.171667,37.553333
105-4,129.258333,37.553333
105-5,129.376667,37.553333
105-6,129.688333,37.553333
105-7,130.000000,37.553333
106-2,128.875000,37.895000
106-3,128.953333,37.895000
106-4,129.063333,37.895000
106-5,129.368333,37.895000
106-6,129.688333,37.895000
106-7,130.000000,37.895000
107-1,128.623333,38.210000
107-2,128.713333,38.210000
107-3,128.843333,38.210000
107-4,129.058333,38.210000
107-5,129.371667,38.210000
107-6,129.685000,38.210000
107-7,130.000000,38.210000
203-0,126.566667,34.033333
203-1,126.523333,33.943333
203-2,126.438333,33.791667
203-3,126.355000,33.638333
204-0,127.533333,34.300000
204-1,127.731667,34.346667
204-2,127.590000,34.228333
204-3,127.446667,34.111667
204-4,127.253333,33.901667
204-5,127.153333,33.758333
204-6,127.053333,33.596667
205-0,127.666667,34.416667
205-1,127.808333,34.371667
205-2,127.868333,34.250000
205-3,127.948333,34.091667
205-4,128.050000,33.858333
205-5,128.153333,33.621667
206-0,128.416667,34.633333
206-1,128.575000,34.591667
206-2,128.686667,34.493333
206-3,128.828333,34.373333
207-1,129.120000,35.021667
207-2,129.186667,34.960000
207-3,129.256667,34.898333
208-1,129.455000,35.475000
208-2,129.563333,35.405000
208-3,129.715000,35.296667
208-4,129.868333,35.185000
209-0,129.531667,35.795000
209-4,129.546667,35.788333
209-5,129.640000,35.756667
209-6,129.816667,35.688333
209-7,130.005000,35.613333
307-3,126.000000,36.941667
307-4,125.628333,36.925000
307-5,125.416667,36.925000
307-6,125.208333,36.925000
307-7,125.000000,36.925000
308-1,126.240000,36.330000
308-2,126.038333,36.330000
308-3,125.833333,36.330000
308-4,125.616667,36.330000
308-5,125.421667,36.330000
308-6,125.206667,36.330000
308-7,125.000000,36.330000
309-1,126.245000,35.855000
309-2,126.033333,35.855000
309-3,125.821667,35.855000
309-4,125.616667,35.855000
309-5,125.406667,35.855000
309-6,125.205000,35.855000
309-7,125.000000,35.855000
310-3,125.821667,35.335000
310-4,125.608333,35.335000
310-5,125.406667,35.335000
310-6,125.201667,35.335000
310-7,125.000000,35.335000
311-4,125.731667,34.716667
311-5,125.531667,34.716667
311-6,125.323333,34.716667
311-7,125.000000,34.716667
312-2,126.100000,33.975000
312-3,125.900000,33.996667
312-4,125.700000,34.021667
312-5,125.500000,34.043333
312-6,125.300000,34.068333
312-7,125.000000,34.091667
313-2,126.000000,33.406667
313-3,125.800000,33.406667
313-4,125.600000,33.406667
313-5,125.400000,33.406667
313-6,125.200000,33.406667
313-7,125.000000,33.406667
314-0,128.000000,33.000000
314-1,127.700000,33.000000
314-2,127.400000,33.000000
314-3,127.100000,33.000000
314-4,126.800000,33.000000
314-5,126.500000,33.000000
314-6,126.200000,33.000000
314-7,125.900000,33.000000
315-12,127.385000,32.500000
315-13,127.085000,32.500000
315-14,126.800000,32.500000
315-15,126.500000,32.500000
315-16,126.200000,32.500000
315-17,125.885000,32.500000
315-18,125.586667,32.500000
315-19,125.286667,32.500000
315-20,125.000000,32.500000
315-21,124.500000,32.500000
315-22,124.000000,32.500000
316-12,127.366667,32.000000
316-13,127.068333,32.000000
316-14,126.768333,32.000000
316-15,126.483333,32.000000
316-16,126.183333,32.000000
316-17,125.885000,32.000000
316-18,125.585000,32.000000
316-19,125.285000,32.000000
316-20,125.000000,32.000000
316-21,124.500000,32.000000
316-22,124.000000,32.000000
317-13,127.068333,31.500000
317-14,126.768333,31.500000
317-15,126.483333,31.500000
317-16,126.183333,31.500000
317-17,125.885000,31.500000
317-18,125.585000,31.500000
317-19,125.285000,31.500000
317-20,125.000000,31.500000
317-21,124.500000,31.500000
317-22,124.000000,31.500000
