지점,지점명,일시,일조(hr),일사(MJ/m2)
138,포항,2021-01-01 8:00,0.1,0.02
138,포항,2021-01-01 9:00,0.9,0.38
138,포항,2021-01-01 10:00,1,1.03
138,포항,2021-01-01 11:00,1,1.53
138,포항,2021-01-01 12:00,1,1.81
138,포항,2021-01-01 13:00,1,1.86
138,포항,2021-01-01 14:00,0.9,1.44
138,포항,2021-01-01 15:00,0.9,1.1
138,포항,2021-01-01 16:00,1,0.72
138,포항,2021-01-01 17:00,0.7,0.29
138,포항,2021-01-01 18:00,0,0
138,포항,2021-01-02 8:00,0.1,0.02
138,포항,2021-01-02 9:00,1,0.35
138,포항,2021-01-02 10:00,1,0.96
138,포항,2021-01-02 11:00,1,1.45
138,포항,2021-01-02 12:00,1,1.76
138,포항,2021-01-02 13:00,1,1.83
138,포항,2021-01-02 14:00,1,1.73
138,포항,2021-01-02 15:00,1,1.44
138,포항,2021-01-02 16:00,1,0.92
138,포항,2021-01-02 17:00,0.7,0.31
138,포항,2021-01-02 18:00,0,0.01
138,포항,2021-01-03 8:00,0,0.01
138,포항,2021-01-03 9:00,0.3,0.26
138,포항,2021-01-03 10:00,1,1.05
138,포항,2021-01-03 11:00,1,1.66
138,포항,2021-01-03 12:00,1,1.8
138,포항,2021-01-03 13:00,1,1.51
138,포항,2021-01-03 14:00,0.9,1.16
138,포항,2021-01-03 15:00,0.6,0.9
138,포항,2021-01-03 16:00,0.7,0.73
138,포항,2021-01-03 17:00,0.2,0.25
138,포항,2021-01-03 18:00,0,0.01
138,포항,2021-01-04 8:00,0.1,0.03
138,포항,2021-01-04 9:00,1,0.4
138,포항,2021-01-04 10:00,1,0.94
138,포항,2021-01-04 11:00,1,1.41
138,포항,2021-01-04 12:00,1,1.68
138,포항,2021-01-04 13:00,1,1.8
138,포항,2021-01-04 14:00,1,1.66
138,포항,2021-01-04 15:00,1,1.33
138,포항,2021-01-04 16:00,1,0.83
138,포항,2021-01-04 17:00,0.8,0.29
138,포항,2021-01-04 18:00,0,0.01
138,포항,2021-01-05 8:00,0,0.01
138,포항,2021-01-05 9:00,0.9,0.31
138,포항,2021-01-05 10:00,1,0.77
138,포항,2021-01-05 11:00,1,1.26
138,포항,2021-01-05 12:00,0.9,1.33
138,포항,2021-01-05 13:00,1,1.76
138,포항,2021-01-05 14:00,0.6,1.08
138,포항,2021-01-05 15:00,0.8,0.98
138,포항,2021-01-05 16:00,0.3,0.53
138,포항,2021-01-05 17:00,0,0.24
138,포항,2021-01-05 18:00,0,0
138,포항,2021-01-06 8:00,0.1,0.02
138,포항,2021-01-06 9:00,0.9,0.38
138,포항,2021-01-06 10:00,1,1.11
138,포항,2021-01-06 11:00,1,1.61
138,포항,2021-01-06 12:00,1,1.9
138,포항,2021-01-06 13:00,1,1.85
138,포항,2021-01-06 14:00,1,1.85
138,포항,2021-01-06 15:00,1,1.52
138,포항,2021-01-06 16:00,1,0.98
138,포항,2021-01-06 17:00,0.8,0.35
138,포항,2021-01-06 18:00,0,0.01
138,포항,2021-01-07 8:00,0.1,0.02
138,포항,2021-01-07 9:00,1,0.39
138,포항,2021-01-07 10:00,1,1.1
138,포항,2021-01-07 11:00,1,1.64
138,포항,2021-01-07 12:00,1,1.97
138,포항,2021-01-07 13:00,1,2.09
138,포항,2021-01-07 14:00,1,1.95
138,포항,2021-01-07 15:00,1,1.59
138,포항,2021-01-07 16:00,1,1.06
138,포항,2021-01-07 17:00,0.9,0.41
138,포항,2021-01-07 18:00,0,0.01
138,포항,2021-01-08 8:00,0.1,0.02
138,포항,2021-01-08 9:00,0.9,0.39
138,포항,2021-01-08 10:00,1,1.12
138,포항,2021-01-08 11:00,1,1.64
138,포항,2021-01-08 12:00,1,1.95
138,포항,2021-01-08 13:00,1,2.04
138,포항,2021-01-08 14:00,1,1.92
138,포항,2021-01-08 15:00,1,1.56
138,포항,2021-01-08 16:00,1,1.04
138,포항,2021-01-08 17:00,0.9,0.39
138,포항,2021-01-08 18:00,0,0.01
138,포항,2021-01-09 8:00,0.1,0.02
138,포항,2021-01-09 9:00,1,0.35
138,포항,2021-01-09 10:00,1,1.09
138,포항,2021-01-09 11:00,1,1.6
138,포항,2021-01-09 12:00,1,1.92
138,포항,2021-01-09 13:00,1,2.04
138,포항,2021-01-09 14:00,1,1.89
138,포항,2021-01-09 15:00,1,1.53
138,포항,2021-01-09 16:00,1,0.99
138,포항,2021-01-09 17:00,0.9,0.38
138,포항,2021-01-09 18:00,0,0.01
138,포항,2021-01-10 8:00,0.1,0.02
138,포항,2021-01-10 9:00,1,0.36
138,포항,2021-01-10 10:00,1,1.08
138,포항,2021-01-10 11:00,1,1.61
138,포항,2021-01-10 12:00,1,1.93
138,포항,2021-01-10 13:00,1,2.01
138,포항,2021-01-10 14:00,1,1.88
138,포항,2021-01-10 15:00,1,1.54
138,포항,2021-01-10 16:00,1,1.01
138,포항,2021-01-10 17:00,0.9,0.39
138,포항,2021-01-10 18:00,0,0.01
138,포항,2021-01-11 8:00,0,0.01
138,포항,2021-01-11 9:00,0.4,0.32
138,포항,2021-01-11 10:00,1,1.07
138,포항,2021-01-11 11:00,0.7,1.15
138,포항,2021-01-11 12:00,0,0.92
138,포항,2021-01-11 13:00,0,0.74
138,포항,2021-01-11 14:00,0,0.55
138,포항,2021-01-11 15:00,0,0.44
138,포항,2021-01-11 16:00,0,0.34
138,포항,2021-01-11 17:00,0,0.15
138,포항,2021-01-11 18:00,0,0.01
138,포항,2021-01-12 8:00,0.1,0.02
138,포항,2021-01-12 9:00,0.9,0.38
138,포항,2021-01-12 10:00,1,1.04
138,포항,2021-01-12 11:00,1,1.55
138,포항,2021-01-12 12:00,1,1.86
138,포항,2021-01-12 13:00,1,1.97
138,포항,2021-01-12 14:00,1,1.86
138,포항,2021-01-12 15:00,1,1.54
138,포항,2021-01-12 16:00,1,0.98
138,포항,2021-01-12 17:00,0.9,0.37
138,포항,2021-01-12 18:00,0,0.01
138,포항,2021-01-13 8:00,0,0.02
138,포항,2021-01-13 9:00,0.8,0.33
138,포항,2021-01-13 10:00,1,0.9
138,포항,2021-01-13 11:00,1,1.37
138,포항,2021-01-13 12:00,1,1.69
138,포항,2021-01-13 13:00,1,1.79
138,포항,2021-01-13 14:00,1,1.7
138,포항,2021-01-13 15:00,1,1.4
138,포항,2021-01-13 16:00,1,0.86
138,포항,2021-01-13 17:00,0.7,0.32
138,포항,2021-01-13 18:00,0,0.02
138,포항,2021-01-14 8:00,0,0.02
138,포항,2021-01-14 9:00,1,0.37
138,포항,2021-01-14 10:00,1,1
138,포항,2021-01-14 11:00,1,1.51
138,포항,2021-01-14 12:00,1,1.83
138,포항,2021-01-14 13:00,1,1.92
138,포항,2021-01-14 14:00,1,1.73
138,포항,2021-01-14 15:00,1,1.47
138,포항,2021-01-14 16:00,1,0.92
138,포항,2021-01-14 17:00,1,0.37
138,포항,2021-01-14 18:00,0,0.02
138,포항,2021-01-15 8:00,0,0.04
138,포항,2021-01-15 9:00,0.8,0.33
138,포항,2021-01-15 10:00,1,0.99
138,포항,2021-01-15 11:00,1,1.33
138,포항,2021-01-15 12:00,1,1.62
138,포항,2021-01-15 13:00,1,1.95
138,포항,2021-01-15 14:00,1,1.59
138,포항,2021-01-15 15:00,1,1.04
138,포항,2021-01-15 16:00,0.3,0.62
138,포항,2021-01-15 17:00,0.3,0.29
138,포항,2021-01-15 18:00,0,0.02
138,포항,2021-01-16 8:00,0,0.02
138,포항,2021-01-16 9:00,0.8,0.33
138,포항,2021-01-16 10:00,1,0.91
138,포항,2021-01-16 11:00,1,1.47
138,포항,2021-01-16 12:00,1,1.84
138,포항,2021-01-16 13:00,1,1.96
138,포항,2021-01-16 14:00,1,1.89
138,포항,2021-01-16 15:00,1,1.51
138,포항,2021-01-16 16:00,1,1
138,포항,2021-01-16 17:00,0.9,0.39
138,포항,2021-01-16 18:00,0,0.02
138,포항,2021-01-17 8:00,0.1,0.01
138,포항,2021-01-17 9:00,0.8,0.28
138,포항,2021-01-17 10:00,1,1.07
138,포항,2021-01-17 11:00,1,1.72
138,포항,2021-01-17 12:00,1,2.06
138,포항,2021-01-17 13:00,1,2.17
138,포항,2021-01-17 14:00,1,2.04
138,포항,2021-01-17 15:00,1,1.69
138,포항,2021-01-17 16:00,1,1.15
138,포항,2021-01-17 17:00,1,0.49
138,포항,2021-01-17 18:00,0,0.02
138,포항,2021-01-18 8:00,0,0
138,포항,2021-01-18 9:00,0.8,0.3
138,포항,2021-01-18 10:00,1,0.94
138,포항,2021-01-18 11:00,0.8,1.31
138,포항,2021-01-18 12:00,0.8,1.19
138,포항,2021-01-18 13:00,0.6,1.22
138,포항,2021-01-18 14:00,0.6,1.26
138,포항,2021-01-18 15:00,1,1.34
138,포항,2021-01-18 16:00,0.5,0.5
138,포항,2021-01-18 17:00,0,0.12
138,포항,2021-01-18 18:00,0,0.03
138,포항,2021-01-19 8:00,0,0.02
138,포항,2021-01-19 9:00,1,0.4
138,포항,2021-01-19 10:00,1,1.13
138,포항,2021-01-19 11:00,1,1.65
138,포항,2021-01-19 12:00,1,1.98
138,포항,2021-01-19 13:00,1,2.09
