Station,Date,wind_speed,wind_dir,air_pr(hPa),air_temp(¡ÆC),sea_temp(¡ÆC),Max_Wave_H (m),Sig_Wave_H (m),Wave_Period(sec),Wave Direction (deg)
22189,2016-01-01 1:00,2.2,345,1031.3,7.8,16.8,1.7,1.1,5.3,58
22189,2016-01-01 2:00,2.8,295,1031.1,8,16.8,1.8,1.2,6.4,101
22189,2016-01-01 3:00,3.2,285,982.1,7.9,16.8,1.6,1,5.8,144
22189,2016-01-01 4:00,3.9,278,1030.9,7.9,16.8,1.5,1,4.9,114
22189,2016-01-01 5:00,4.6,280,1030.9,7.4,16.8,1.4,0.9,5.3,99
22189,2016-01-01 6:00,3,285,1030.7,7.1,16.8,1.7,1,4.9,88
22189,2016-01-01 7:00,4.6,279,1030.7,7.2,16.8,1.5,0.9,4.9,117
22189,2016-01-01 8:00,4.1,306,1031.4,7.4,16.8,1.7,1,5.3,65
22189,2016-01-01 9:00,5.7,325,1031.5,7.5,16.8,1.9,0.8,4.9,89
22189,2016-01-01 10:00,5.6,299,1031.9,7.7,16.8,2,0.6,5.8,51
22189,2016-01-01 11:00,5.8,284,1032.1,7.6,16.8,1.6,0.8,5.8,150
22189,2016-01-01 12:00,4.6,280,1031.1,7.5,16.8,1.4,0.9,5.8,110
22189,2016-01-01 13:00,5.1,281,1030.2,7.9,16.8,1.2,0.8,5.3,162
22189,2016-01-01 14:00,6.2,232,1029.2,8.7,16.8,1.2,0.6,6.4,177
22189,2016-01-01 15:00,5.9,250,1028.6,8.8,16.8,1.3,0.9,5.8,187
22189,2016-01-01 16:00,7.3,233,1028,8.9,16.8,1.7,0.5,3.6,3
22189,2016-01-01 17:00,9.4,239,1028,9.5,16.8,1.9,0.7,3.6,8
22189,2016-01-01 18:00,9.5,249,1027.7,10,16.8,3.1,0.9,3.8,7
22189,2016-01-01 19:00,10.5,242,1027.6,10,16.8,2.3,0.7,4.3,4
22189,2016-01-01 20:00,9.6,239,1027.9,10.2,16.7,2.4,1,4,349
22189,2016-01-01 21:00,9.7,254,1027.5,10.1,16.7,2,1.4,4.3,348
22189,2016-01-01 22:00,10.3,257,1027.2,9.7,16.6,2.6,0.4,4.3,353
22189,2016-01-01 23:00,10.5,253,1027.1,9.5,16.6,2.5,1.1,4.9,344
22189,2016-01-02 0:00,11.3,268,1026.7,9.6,16.6,2.9,0.9,4.9,335
22189,2016-01-02 1:00,10.5,256,1026.7,9.3,16.6,3,1.2,4.9,339
22189,2016-01-02 2:00,11.4,256,1026.5,9.4,16.5,3,0.9,4.9,345
22189,2016-01-02 3:00,12.3,267,1026,10.3,16.5,3.8,0.9,4.3,354
22189,2016-01-02 4:00,14.6,264,1025,10.8,16.5,3,1.8,5.3,3
22189,2016-01-02 5:00,12.7,292,976.3,10.5,16.5,3.4,1.5,5.3,347
22189,2016-01-02 6:00,9.6,287,1025.2,9.6,16.6,2.1,1.5,5.3,340
22189,2016-01-02 7:00,7.4,280,1024.9,9.3,16.6,2.1,1.3,4.3,335
22189,2016-01-02 8:00,4.8,294,1025.7,8.6,16.5,2.1,1.1,4.9,320
22189,2016-01-02 9:00,5.7,276,1025.9,8.9,16.5,1.9,1,4.3,322
22189,2016-01-02 10:00,7,262,1025.8,9.9,16.5,1.7,0.9,4,14
22189,2016-01-02 11:00,8.2,272,1025.7,10.2,16.5,1.5,0.9,3.8,16
22189,2016-01-02 12:00,9.2,251,1024.6,10.7,16.5,1.5,1,3.6,357
22189,2016-01-02 13:00,8.8,268,1023.5,11.3,16.5,1.8,1.1,3.4,359
22189,2016-01-02 14:00,9,246,1022.3,11.7,16.5,2.1,1,4,359
22189,2016-01-02 15:00,10,256,1021.8,12,16.6,1.8,1.2,4,357
22189,2016-01-02 16:00,10,255,1021.3,12.3,16.6,2,1,4,1
22189,2016-01-02 17:00,10.5,242,1021,12.5,16.6,3.2,0.4,3.8,3
22189,2016-01-02 18:00,10,250,1021.3,12.9,16.6,2,0.6,3.6,10
22189,2016-01-02 19:00,10.2,250,1021.3,13.1,16.7,2,0.8,3.6,359
22189,2016-01-02 20:00,8.9,239,1021.3,13.1,16.6,2,1.1,3.4,355
22189,2016-01-02 21:00,8.3,264,1021.4,13.2,16.6,1.6,0.6,3.6,343
22189,2016-01-02 22:00,7.5,261,1020.9,13.3,16.6,1.4,0.9,3.6,332
22189,2016-01-02 23:00,7.1,262,1020.6,13.2,16.7,1.4,0.2,3.4,350
22189,2016-01-03 0:00,7.2,252,1020.2,13.3,16.8,1.4,0.8,3.8,346
22189,2016-01-03 1:00,6.7,266,1020,13.2,16.8,1.5,0.8,3.6,334
22189,2016-01-03 2:00,6.1,263,1019.5,12.9,16.8,1.5,0.4,3.2,356
22189,2016-01-03 3:00,5.9,266,1019.4,12.8,16.8,1.1,0.7,3.6,338
22189,2016-01-03 4:00,3.5,297,1019.1,12.6,16.8,1.1,0.7,3,350
22189,2016-01-03 5:00,2.3,317,1019.1,12.4,16.9,1.1,0.6,3,4
22189,2016-01-03 6:00,2,333,1019.1,12.5,17,0.8,0.6,3.4,347
22189,2016-01-03 7:00,1.7,312,1019.1,12.6,17,1,0.6,2.9,20
22189,2016-01-03 8:00,0.7,278,1019.3,12.5,17.3,0.8,0.5,2.8,22
22189,2016-01-03 9:00,0.7,219,1020.1,13,17.4,0.8,0.4,2.9,78
22189,2016-01-03 10:00,0.6,186,1020.7,13.1,17.4,0.8,0.5,2.8,168
22189,2016-01-03 11:00,0.6,215,1020.6,13.2,17.4,0.7,0.5,3.4,147
22189,2016-01-03 12:00,1.3,172,1019.7,13.3,17.4,0.7,0.4,2.8,355
22189,2016-01-03 13:00,3.3,248,1018.6,13.2,17.5,0.7,0.4,2.8,7
22189,2016-01-03 14:00,3.6,240,1017.9,13.3,17.5,0.6,0.4,3,198
22189,2016-01-03 15:00,4.9,232,1017.3,13.5,17.5,1,0.2,2.5,359
22189,2016-01-03 16:00,5.9,234,1017.3,13.9,17.5,0.8,0.1,2.1,10
22189,2016-01-03 17:00,6.6,230,1017.7,14.2,17.2,1,0.6,2.7,13
22189,2016-01-03 18:00,6.8,246,1017.9,14.2,17.1,1.2,0.7,2.9,1
22189,2016-01-03 19:00,7.3,242,1018.2,14.5,16.9,1.2,0.8,3.4,11
22189,2016-01-03 20:00,7.6,248,1018.1,14.7,16.8,1.7,0.4,3.6,20
22189,2016-01-03 21:00,8.2,237,1017.8,14.6,16.8,1.7,1,3.6,354
22189,2016-01-03 22:00,8.3,245,1018,14.7,16.9,1.6,1,3.8,357
22189,2016-01-03 23:00,7.8,268,1018.5,14.5,17,1.9,0.5,3.6,357
22189,2016-01-04 0:00,7.9,245,1018.2,14.4,17,1.5,1,4,354
22189,2016-01-04 1:00,7.3,261,1017.5,14.3,17,1.5,0.9,3.8,349
22189,2016-01-04 2:00,7.6,261,1017.1,14.3,17,1.3,0.8,3.2,352
22189,2016-01-04 3:00,9.5,256,1017.1,14.3,17,1.6,0.9,3.6,341
22189,2016-01-04 4:00,7.9,278,1017.6,13.9,17,1.5,0.9,3.8,348
22189,2016-01-04 5:00,4.4,313,1017.8,12.7,17,1.7,1,3.8,354
22189,2016-01-04 6:00,4.8,325,1018.1,12.5,16.9,1.2,0.8,4,327
22189,2016-01-04 7:00,7.3,353,1018.3,11.9,16.9,1.6,1,3.4,344
22189,2016-01-04 8:00,7.7,336,1019.1,12.2,17.1,2.4,0.9,4.9,59
22189,2016-01-04 9:00,6.6,346,1020.1,12,17.2,1.7,1.1,3.8,63
22189,2016-01-04 10:00,4.5,356,1020.5,11.9,17,1.6,0.9,4,301
22189,2016-01-04 11:00,4.4,344,1021.2,12.3,16.9,1.5,0.9,5.8,113
22189,2016-01-04 12:00,5.5,341,1020.7,12,16.9,1.5,0.8,3.8,64
22189,2016-01-04 13:00,5.7,336,1020.1,12.2,17,1.6,0.9,6.4,70
22189,2016-01-04 14:00,6,354,1020.2,12,17,1.4,0.8,5.8,43
22189,2016-01-04 15:00,5.9,2,1019.8,12.2,17.1,1.4,0.9,5.8,42
22189,2016-01-04 16:00,5.1,4,1020.1,12.8,17.1,1.4,0.9,5.3,61
22189,2016-01-04 17:00,4,351,1020.3,12.9,17.2,1.4,0.8,6.4,117
22189,2016-01-04 18:00,6.1,321,1020.6,13.3,17.2,1.2,0.9,7.1,102
22189,2016-01-04 19:00,8.4,333,1020.8,13.4,17,1.5,0.9,6.4,103
22189,2016-01-04 20:00,8.9,315,1021.3,13.2,17,1.6,1,3.6,24
22189,2016-01-04 21:00,7.2,314,1021.8,12.6,16.7,1.6,1,6.4,99
22189,2016-01-04 22:00,8.6,321,1022.3,12.7,16.7,1.9,1,6.4,75
22189,2016-01-04 23:00,8.1,293,1022.5,12.1,16.6,,,,
22189,2016-01-05 0:00,7.7,331,1022.4,11.6,16.6,1.6,1,5.8,94
22189,2016-01-05 1:00,6.5,319,1022.4,11.1,16.6,1.7,0.8,3.6,21
22189,2016-01-05 2:00,6.6,310,1022.1,11.2,16.6,1.6,1,5.8,64
22189,2016-01-05 3:00,4.2,323,1022.4,10.8,16.7,1.4,0.8,5.8,39
22189,2016-01-05 4:00,5.5,345,1022.5,10.8,16.7,1.6,0.8,6.4,51
22189,2016-01-05 5:00,6.2,359,1022.4,10.4,16.9,2,0.9,5.8,41
22189,2016-01-05 6:00,9.2,9,1022.5,10,16.8,2.1,0.8,4.3,10
22189,2016-01-05 7:00,7.6,339,1022.4,9.9,16.8,,,,
22189,2016-01-05 8:00,8.8,347,1023.2,9.7,16.7,3.5,1,6.4,57
22189,2016-01-05 9:00,8.9,348,1023.5,9.2,16.6,1.8,1,4.3,19
22189,2016-01-05 10:00,8.4,347,1024,9.6,16.6,2.9,1,6.4,48
22189,2016-01-05 11:00,8.4,359,1024.8,10.6,16.5,2.5,1.5,6.4,65
22189,2016-01-05 12:00,6.4,336,1024.6,9,16.5,,,,
22189,2016-01-05 13:00,4.7,314,1024.4,7.4,16.5,2,1.3,5.8,69
22189,2016-01-05 14:00,4,275,1024,6.7,16.5,,,,
22189,2016-01-05 15:00,4.2,297,1023.1,7.8,16.5,1.7,1,6.4,97
22189,2016-01-05 16:00,3.6,281,1023.1,8.3,16.5,,,,
22189,2016-01-05 17:00,3.6,341,1023.3,8.8,16.5,3.3,0.4,6.4,80
22189,2016-01-05 18:00,4.5,338,1023.5,9.3,16.5,1.5,0.9,6.4,79
22189,2016-01-05 19:00,5.8,347,1023.8,9.2,16.5,1.6,1.1,5.8,87
22189,2016-01-05 20:00,5.5,358,1024,9,16.5,1.8,0.8,5.8,71
22189,2016-01-05 21:00,5.6,333,1024.4,8.7,16.5,1.7,1.1,5.8,104
22189,2016-01-05 22:00,6.3,329,1024.3,8.5,16.5,2.1,1,6.4,67
22189,2016-01-05 23:00,6.2,333,1024.6,8.5,16.4,,,,
22189,2016-01-06 0:00,6.6,352,1024.5,8.2,16.4,1.8,1,5.3,40
22189,2016-01-06 1:00,6.1,10,1024.1,8.7,16.4,1.6,1,5.8,30
22189,2016-01-06 2:00,5.7,329,1023.5,8.3,16.4,1.8,1.1,5.8,26
22189,2016-01-06 3:00,6.8,330,1023.6,8.2,16.4,2,1.1,6.4,21
22189,2016-01-06 4:00,7.3,350,1023,8.7,16.5,2.6,1,8,25
22189,2016-01-06 5:00,7.1,329,1022.3,8.7,16.6,2.3,1.1,8,49
22189,2016-01-06 6:00,9.8,326,1022.5,8.4,16.7,2.8,0.5,8,42
22189,2016-01-06 7:00,10.8,323,1022.8,7.7,16.7,2.9,1.1,5.8,29
22189,2016-01-06 8:00,10.1,323,1022.9,7.7,16.8,,,,
22189,2016-01-06 9:00,8.9,345,1023.5,7.7,16.7,2.8,1.6,6.4,81
22189,2016-01-06 10:00,9.9,313,1023.7,7.2,16.7,,,,
22189,2016-01-06 11:00,9.1,330,1023.2,7.2,16.7,2.7,1.4,5.8,72
22189,2016-01-06 12:00,9.2,344,1022.6,7.7,16.7,3.4,0.3,6.4,55
